producer_1,producer_2
246,7799
12470,3643
324,1288
12470,3639
654,3348
12470,3648
561,4192
324,3348
12470,3653
309,3818
12470,3668
258,3361
387,3460
1105,3730
547,548
12470,3675
387,3461
459,3278
12470,3669
1588,3096
482,518
429,4210
13347,13347
441,7939
531,3102
12470,3677
531,3103
661,3169
661,3170
395,3226
399,3110
322,3450
12470,3699
12470,3708
387,3492
12470,3707
12470,7799
12470,3714
12470,3709
6544,3100
12470,3711
12470,5772
784,3488
408,6953
377,3818
408,6954
12470,3730
12470,3731
1094,8225
12605,5697
595,3225
12470,3745
341,7006
12470,3741
408,6982
711,3733
12470,3754
1123,3250
319,3604
12470,3763
12470,3758
203,3113
334,3149
12470,3767
258,3469
258,3472
12470,3785
317,3696
12470,3784
772,3929
1389,3236
482,635
12470,3789
877,6828
877,6829
12470,5850
12470,3797
12470,3799
12470,5859
877,6836
877,6837
547,6827
788,3454
788,3455
12470,5853
12470,3818
12470,5870
963,8290
12470,3835
12470,7939
347,6916
12470,3843
349,6856
12470,3840
547,6870
536,3115
12470,3847
12470,5894
258,1501
12470,3856
349,6878
12470,3867
366,6352
361,363
12470,3862
273,3093
557,435
399,1240
2583,3169
12470,3870
2583,3170
794,3335
12470,3871
651,3677
234,8414
12470,3880
12470,3879
12470,5940
12470,7986
399,1270
723,3515
265,3377
723,3516
12470,3914
324,3604
242,6147
12470,3911
6544,3299
349,6933
656,3563
12470,3930
12470,3929
12470,3931
12470,3926
258,3622
1107,3931
12470,3940
602,3203
602,3204
319,3789
12470,3946
457,3613
12470,3943
725,3501
421,638
736,3165
582,7939
12470,3963
804,3111
525,3570
736,3174
387,3758
557,548
265,3460
455,3714
12470,3990
12470,3992
12470,4004
12470,4010
203,1307
387,3799
455,3741
12470,4020
725,3571
591,5678
319,3871
538,3227
12470,4027
12470,4024
1588,3450
12470,4034
1588,3451
547,7060
1134,3203
489,6819
711,4034
489,6820
421,6882
12470,4054
341,3226
12470,6116
12618,1528
496,472
869,3250
12470,6123
12470,6124
12470,6129
250,4020
12470,4089
359,6798
265,3569
12470,4099
489,6867
12470,4096
1073,3103
459,3707
459,3708
666,1387
12470,4107
661,3591
489,6885
12470,4121
723,3741
1371,12326
12470,6187
421,6965
12470,4136
319,3992
12470,4154
800,1378
12470,4150
12470,4152
228,6828
228,6829
215,3138
287,906
12470,4170
804,3315
228,6836
228,6837
349,1041
12470,4180
319,4027
12470,6222
228,6851
217,3096
226,6915
604,1342
326,3818
12470,8290
12470,4191
349,3116
244,4324
244,4325
12470,4210
1347,7002
12470,8306
248,4210
1182,3929
258,3914
788,3870
536,3491
250,4165
1073,1188
334,3625
736,3453
448,4192
482,3138
455,1930
1389,3696
1588,3677
788,3914
265,3745
784,4054
12470,8385
604,1446
12470,6335
12470,8383
536,3555
215,3269
12614,3929
12614,3930
12470,8391
12470,4301
12470,6352
602,3584
800,3591
12470,4324
12470,8414
630,676
498,676
12470,4325
12470,4328
12470,241
471,3570
12470,8444
602,3613
349,3269
12470,8447
522,6104
12470,8460
260,3992
429,6945
482,1220
433,6836
421,3115
421,3116
273,3615
12470,299
341,3563
453,4192
421,3138
209,3570
258,4099
1159,6898
582,4309
582,4310
355,3157
355,3158
736,3636
14822,3204
14822,3203
424,1028
482,3327
331,3914
919,8225
238,6809
12470,352
317,8460
334,3847
538,3668
538,3669
536,3731
1314,4192
1340,1341
349,1342
1020,1021
700,701
339,3707
748,3317
339,3708
806,3570
12470,402
298,899
12470,398
324,4192
201,12103
271,3791
351,1311
482,3394
482,3395
287,13539
736,3731
285,3377
12470,435
424,3174
736,3744
217,3450
700,6911
786,12447
723,4165
784,4324
784,4325
437,6893
349,3480
361,3113
847,338
547,1447
1073,1528
361,3126
723,4192
1073,3584
281,3570
6547,3889
427,3143
1344,1345
221,3401
221,3402
395,12344
547,1491
1340,3533
480,3570
12470,518
1344,1368
933,3871
262,4192
736,3835
437,6963
12470,539
538,3840
12470,548
538,3843
1417,1173
329,4192
1012,3501
395,12388
215,3636
345,3707
345,3708
431,3096
12470,596
482,3582
890,3227
630,3096
1217,1294
882,1441
1000,3940
604,3931
1347,3430
1347,3431
482,3625
295,3278
12470,638
748,3576
357,3421
427,3299
506,854
12470,6798
377,6903
224,3461
12470,6819
12470,676
1314,396
383,586
690,1311
12470,6827
12470,6836
12470,6829
1000,4010
1992,8076
800,6116
12470,6837
12470,696
445,6883
12470,6851
379,6885
12470,701
482,3699
12470,6856
424,3452
287,3604
424,3453
12470,6867
357,3492
12470,6873
1159,1160
12470,6871
349,3744
489,3501
482,3719
12470,6870
12470,6883
12470,6878
779,6810
12470,6892
12470,6885
203,4192
238,3110
12470,6898
361,3395
424,3491
14822,3613
12470,6903
12604,701
12470,6916
12470,6911
930,8306
834,3103
1033,1034
12470,6933
12470,6945
248,6945
630,13539
12470,6953
498,13539
12470,6954
207,8225
295,3450
12470,6963
12470,6964
424,3555
800,4192
12604,6911
319,676
536,4192
1105,899
1340,3856
12470,6982
1033,3139
1033,3140
538,4152
12470,7002
12470,854
482,3847
471,4192
238,3226
262,435
349,3882
419,3763
279,8103
12470,875
445,914
12470,7035
2765,6829
2765,6828
538,4192
12470,899
538,12388
453,6832
12470,906
12470,908
12470,914
12470,7060
304,3278
1340,3930
397,398
238,3283
238,3284
763,1346
421,3758
12470,926
238,3292
209,4192
341,12388
524,579
882,5870
12470,944
419,3843
359,3658
580,908
408,4192
453,6903
786,6829
238,3337
285,3931
685,7923
324,6828
654,696
1101,3224
424,3731
786,6851
12470,998
224,3799
417,3963
806,4192
489,3784
258,705
12470,1028
836,3278
12470,1021
12470,1034
357,3797
12470,1041
12470,3086
12470,3100
1105,1106
12470,3096
221,3943
12470,3102
421,3889
697,1478
12470,3103
12470,3113
12470,3115
522,6915
379,3164
379,3165
12470,3126
359,3789
12470,3138
370,3450
498,3582
326,6873
424,3835
12470,1106
12470,1108
12470,3150
298,3653
630,3604
12470,3164
1107,1108
498,3604
12470,3158
498,3605
12470,3157
12470,3170
281,4192
12470,3169
12470,3165
12470,3177
238,3488
12470,3174
1107,1133
12470,3183
260,6916
480,4192
1503,1156
319,998
12470,1156
12470,3204
12470,3203
12470,1150
1012,4096
12470,1152
431,3677
12618,12960
12470,3208
377,5358
244,3337
12470,3207
221,4054
547,4192
302,3596
228,7939
12470,3225
12470,3227
12470,3224
1012,4121
298,3730
12470,1188
12470,3232
804,338
836,3450
513,3224
561,3784
847,3111
561,3785
513,3225
12470,3252
12470,3251
1123,702
238,3562
1033,1445
12470,3247
2227,3348
298,3767
748,4154
882,4099
291,3992
238,3591
12470,3283
12470,3278
12470,3292
855,856
12470,3299
651,3096
1155,12059
12470,3315
12470,5358
12605,1173
319,3169
319,3170
12470,3317
319,3171
319,3172
489,4047
238,3639
12470,3325
1101,3515
1101,3516
12470,3337
595,6915
563,3818
12470,3345
12470,3348
12470,1294
12470,3353
12470,3356
309,3515
244,3488
12470,1311
395,7006
355,12344
226,6104
12470,3377
429,12103
12470,3376
12470,3394
12470,1345
12470,3395
12470,1342
12470,1341
262,7060
12470,3402
238,3709
12470,3401
12470,1353
238,3714
399,6916
847,3278
12470,1368
258,3112
12470,1378
711,1358
258,3113
1433,1505
12470,3421
12470,3430
258,3126
12470,3431
12470,5490
12470,1390
12470,3450
847,3315
1149,8290
561,3990
561,3991
12470,3460
12470,3454
951,8290
12470,3453
851,1152
12470,3455
250,3402
12470,1420
379,3501
489,4192
377,3569
711,3455
12470,1434
12470,3480
258,3177
12470,1441
12470,3492
12470,1438
3998,1930
12470,3488
455,3225
12470,1446
12470,1445
300,3940
800,6873
12470,3501
448,3455
12470,3516
258,3207
12470,3522
322,3278
12470,5578
324,3226
324,3227
372,3789
12470,1491
513,3516
457,3204
12470,3533
12470,1488
289,8414
258,3232
12470,1505
2765,3348
12470,3555
604,6856
627,4096
12470,3562
1101,3741
547,435
1033,3807
12470,3570
538,6865
12470,3569
538,6866
784,3337
300,4010
12470,5628
250,3515
544,545
604,6878
627,4119
736,6885
12470,3584
12470,7689
513,3570
12470,3591
12470,3604
238,12103
319,3450
324,13539
12470,3605
723,3224
723,3225
725,3164
12470,3613
329,3157
329,3158
12470,7723
12470,3625
12470,7722
12470,3636
604,6933
291,8444
6518,5870
12470,5678
1927,6883
1033,3877
12470,3631
