directordirectedmovie_1,directordirectedmovie_2
406,407
7296,7297
8251,8252
9431,9432
9857,9858
11719,11720
5297,15608
5297,5296
16481,14947
16933,16934
17085,17086
18314,18315
4245,19190
11152,11151
12430,20758
21055,21056
21297,21298
21552,21553
7296,21571
9431,23412
24303,24304
24337,24338
25439,25440
25443,25444
26949,26950
27256,27257
27652,27653
27681,27682
27803,4714
28218,22469
28415,28416
9710,9709
406,9709
31083,31084
31685,31686
32725,32726
33087,33088
33993,33994
34020,34021
31206,31205
36982,36983
12430,37683
36720,5014
22936,20273
38455,17886
38568,38569
38616,38617
22936,39004
39562,39563
39655,39656
39741,39742
41220,41221
22936,31252
42902,42903
11122,11121
43830,31084
43935,43936
44371,13359
45048,4714
1504,1503
45493,45494
46126,46127
46158,46159
46904,46905
47097,47098
40388,40387
47490,6356
9312,9311
47338,46162
5750,48655
48792,48793
49744,45226
50367,14368
50707,50708
10472,37866
16933,51087
4245,41727
51553,22217
52147,52148
52369,36423
52906,52907
12430,54039
53359,53358
54451,54452
54551,30891
53228,20731
54604,54605
12430,25434
11897,14901
33566,33565
43184,43183
55282,55283
20982,20981
55743,55744
29956,55974
40430,27459
53393,53392
57907,57908
57932,57933
50776,57949
58000,58001
9431,2566
59094,59095
51261,51260
60087,20462
37245,2751
9431,52570
43085,43084
45048,2566
16933,14166
50433,60839
36797,16126
48519,48518
9710,54586
7296,14982
36807,57806
51304,51303
38616,61769
21055,46460
5750,5749
36727,28602
36797,36796
22299,10284
37184,37183
41529,41528
11897,11896
16481,34097
4245,44524
34335,34334
63423,5434
60511,63708
9431,12578
62261,62260
64219,64220
22936,4244
64514,64515
36720,53833
54604,56568
46277,46276
36982,65330
44003,30878
66186,66187
57730,57729
9710,21939
12430,63821
34020,32702
67276,67277
43466,58443
66471,66470
42957,42956
1504,35665
57479,61906
54551,61808
27803,43468
55889,67710
11897,67682
60087,51644
68292,68293
68385,68386
1504,60342
66398,66397
54551,62184
55889,55888
68839,68840
69010,11258
5750,62537
10191,10190
11897,64004
69757,69758
69784,14947
50776,50775
36720,20758
21297,26453
70180,70181
40570,35518
68316,68315
67586,67585
70804,28409
16933,39867
71155,30324
12430,5014
71208,71209
67757,67756
12284,12283
71605,70964
71034,71033
4245,4244
43184,70260
71852,43761
71444,26168
4245,31252
38616,64179
72036,27503
35318,35317
68469,58817
29956,29955
27365,27364
22890,22889
67757,72549
22936,26087
43466,43465
9431,60891
24303,72885
68677,68676
21297,72223
67757,61272
65696,65695
31083,67214
17465,17464
71320,71319
65185,53011
62148,58415
57479,57478
72518,25440
33566,73783
4245,20273
53673,53672
73647,73646
50433,38272
9431,31896
32483,32482
51261,67962
65696,58415
74174,74175
406,59777
56612,56611
62036,62035
36727,36726
53125,53124
45493,2566
62371,62370
22936,41727
46914,46913
45493,4714
54451,66553
21297,72761
9431,38240
60511,60510
4245,72566
62816,9074
75024,75025
74023,74022
5297,21792
9061,9060
60511,73727
9431,36325
43647,43646
39562,68070
49283,49282
1504,45437
12430,67558
36807,36806
12430,12429
22890,23956
69105,69104
38455,68240
10472,10471
27010,27009
68292,46276
41217,41216
4245,39004
42902,68595
9431,65101
75473,30873
61716,61715
22936,63009
74987,74986
73029,25444
60087,23648
22936,23893
74522,65506
71168,12011
