fishservedwithfood_inv_1,fishservedwithfood_inv_2
807,808
3989,1152
4354,1152
5115,808
6209,808
6502,1152
6896,6897
8940,8941
9445,1152
9718,1152
9879,1152
8940,8905
10757,1152
11776,1152
12662,808
12714,1152
13455,13456
14740,1152
1580,1152
15714,1152
16044,1152
16361,808
1407,1406
17915,1152
8940,19706
19939,1152
21587,808
13455,1152
21969,808
1407,22529
22872,808
17325,808
24779,1406
24881,808
22992,808
25910,1152
27231,1152
24881,1152
13198,1406
28134,1152
22276,808
8940,808
8940,16964
8940,30710
13286,6519
3349,1152
34084,1152
34610,808
8940,35008
20237,1152
12714,808
36461,808
37202,1152
37786,1152
8940,38146
5553,2011
8940,39104
6896,37744
35712,37744
41278,1152
8940,27162
42435,1152
34267,808
22658,37744
43487,1152
14848,6897
34267,22529
8940,44156
44397,1152
8940,44406
9924,808
34267,1152
8940,27911
45658,1152
46672,808
47067,1152
35006,1152
48015,1152
48499,1152
13455,808
6896,36964
49785,49786
24153,1152
8940,6519
38947,808
51729,1152
14848,20127
52415,808
8940,52921
8940,41353
54503,1152
8940,36964
27163,27162
38947,1152
9289,1152
55561,1152
263,1406
56204,808
22276,1152
8940,56992
17325,57322
2381,1152
35712,1152
57543,1152
6502,808
45511,1152
58316,808
2012,2011
22658,1152
8940,53131
23709,1152
27334,1152
6896,22529
8940,14468
22658,6897
43842,1152
14848,13456
59902,808
8940,59903
37980,1152
33044,1152
60318,1152
17325,17324
61319,1152
61405,1152
57543,808
1580,808
37518,808
57217,1152
36607,1152
6896,51151
14156,37744
48231,808
26264,1152
46672,1152
263,1152
60318,808
7002,808
30716,1152
63325,1152
35006,808
14848,17324
12996,11180
62849,808
8940,23087
6347,808
58316,1152
33622,1152
8940,64129
31689,1152
64614,64615
60628,808
58804,1152
64911,1152
49785,1152
1407,11583
14156,808
8940,2011
59246,1152
6896,17324
9924,1152
23035,808
22658,59542
12410,1152
9578,1152
64522,41353
64522,1152
60628,1152
8940,62451
67183,1152
67294,808
57062,1152
49785,13456
45535,1152
8940,1406
8940,64615
50348,1152
8940,22529
67906,1152
8940,54343
8940,33765
68666,1152
27334,808
8940,6897
4464,1152
52106,1152
69627,1152
17325,36964
23035,1152
8940,53539
18274,1152
7589,808
69357,1152
12662,1152
2074,1152
6896,13456
71430,1152
8940,49786
71458,1152
71590,1152
8940,3183
37518,1152
3977,1152
71913,808
8940,17324
8940,71982
8940,1152
807,1152
8998,808
1407,27911
63156,1152
17325,1406
8940,18012
8998,1152
8940,577
9289,808
6896,808
37017,1152
53443,1152
71119,808
8940,13456
1407,64280
73485,1152
9211,1152
73594,1152
8940,10992
26252,1152
49785,808
20237,808
42376,1152
11891,1152
28858,1152
74039,1152
40613,11180
74189,1152
15456,1152
40613,1152
8940,36652
45511,54343
17325,1152
8940,27698
17325,2011
13158,1152
62817,1152
40829,808
74281,1152
35535,1152
74700,1152
36607,808
73902,808
6896,8941
8940,10110
32262,1152
69627,808
8940,39624
21594,1152
14156,1152
68681,808
22872,1152
7589,1152
63075,1152
45720,1152
13902,808
32262,808
8940,12404
8940,75225
22658,17324
14848,1152
72499,808
8940,37744
6896,14468
1982,1152
4573,53131
1407,2011
8940,41670
49941,1152
8940,75366
50348,808
9384,1152
21587,1152
33622,808
11660,1152
6896,1406
52106,808
71680,1152
40634,1152
8940,59542
8940,75153
6896,1152
