teamhomestadium_1,teamhomestadium_2
4048,4049
4787,4788
1988,6093
6348,6349
421,6577
1993,8839
35,10705
6744,5905
2007,15424
2173,4360
57,14782
9262,11965
392,8992
20152,11526
13298,21720
4148,8197
13029,15610
4418,24960
10159,19362
5182,2136
562,27604
8814,27765
1914,16603
16167,38
99,13715
9915,35151
14077,35842
1265,36113
9598,8992
3665,18819
10331,8839
9804,41484
1004,1080
11231,8239
3314,5403
449,24855
12868,42193
42772,39780
2694,17067
551,44344
379,17607
4184,39780
8486,26191
195,8605
1992,366
47446,47447
17005,17004
3854,19362
1355,13070
4661,10261
2004,46641
5183,8839
3393,5075
3900,17676
447,19687
9769,8197
1669,21923
69,9401
113,18819
3772,16257
552,8289
882,683
3293,1324
2476,30192
3821,13715
497,8720
87,5015
3558,56744
3893,1802
12957,38920
3188,10488
4504,24250
5002,6276
2819,32097
6212,27080
1807,13501
486,683
14503,25936
3746,6304
281,15519
971,4061
4332,20572
10775,51828
1284,1440
10759,18819
7486,5015
15349,42992
326,31981
33736,38
16220,38
2593,4874
5181,10705
806,8720
5044,3021
10060,10059
28153,5000
69655,19925
11847,21045
16250,11884
22573,24895
10922,13501
383,52643
7319,57647
56,21410
12325,10261
350,5905
62,10488
9822,1558
5767,37415
3383,7046
476,8942
16162,35151
12995,15610
8366,10059
17670,63611
8222,5905
7812,19938
12248,9421
18203,36841
1116,5905
1250,16130
10864,869
68,14618
2341,11068
19721,25330
1439,22737
2703,9401
17579,8605
7039,6256
2338,1080
4854,39711
4602,3577
32224,38
4899,12575
54961,66427
126,32097
4183,32212
1248,3636
11729,9461
2702,4874
1633,9461
4165,21351
18249,8942
